winner,turns,largest_army,longest_road,points_0,points_1,points_2,points_3,smart,trial
2.0,131,,2.0,5,2,10,2,0,469
0.0,105,,1.0,10,6,2,3,0,470
,200,1.0,2.0,4,6,8,8,3,471
0.0,133,,0.0,10,3,3,4,0,472
3.0,80,3.0,3.0,3,2,3,10,1,473
,200,,0.0,6,4,7,5,0,474
1.0,94,,1.0,2,10,2,2,1,475
3.0,136,,0.0,5,4,5,10,2,476
3.0,172,2.0,3.0,3,6,9,10,1,477
3.0,124,1.0,3.0,2,7,2,10,0,478
0.0,169,2.0,2.0,10,3,9,6,0,479
1.0,154,3.0,1.0,2,10,4,7,1,480
1.0,142,0.0,1.0,7,10,6,4,2,481
2.0,139,,2.0,2,3,10,6,2,482
0.0,129,,0.0,10,4,2,2,1,483
1.0,178,,2.0,4,10,7,2,1,484
3.0,144,,3.0,3,4,6,10,3,485
2.0,139,,2.0,2,7,10,4,2,486
3.0,148,,3.0,2,5,2,10,3,487
2.0,87,,2.0,2,2,10,6,2,488
2.0,159,2.0,0.0,7,6,12,3,0,489
1.0,174,1.0,2.0,8,12,5,6,0,490
3.0,84,3.0,3.0,2,2,3,10,2,491
0.0,137,,0.0,10,3,2,6,0,492
0.0,149,0.0,0.0,11,3,4,5,2,493
2.0,155,,2.0,5,3,10,3,2,494
3.0,152,,3.0,2,4,2,11,3,495
1.0,186,2.0,1.0,3,11,5,5,1,496
1.0,110,3.0,0.0,8,10,2,7,0,497
2.0,119,2.0,3.0,8,4,10,7,2,498
1.0,106,,1.0,2,11,2,4,1,499
2.0,135,,2.0,2,3,10,2,2,500
0.0,153,,0.0,10,4,4,2,0,501
0.0,125,,0.0,11,3,4,5,0,502
1.0,170,,3.0,2,10,5,9,3,503
2.0,75,,2.0,2,4,11,3,2,504
3.0,132,,3.0,2,3,2,11,3,505
3.0,124,3.0,3.0,3,2,4,10,3,506
,200,,0.0,5,7,4,4,0,507
,200,,3.0,4,5,2,5,1,508
0.0,125,0.0,0.0,11,4,3,4,3,509
2.0,115,,2.0,2,7,10,8,1,510
2.0,151,2.0,3.0,5,5,10,8,3,511
0.0,69,,0.0,11,2,2,6,3,512
1.0,98,1.0,1.0,4,10,4,5,0,513
0.0,101,0.0,0.0,10,4,4,2,0,514
,200,,0.0,7,2,4,4,0,515
3.0,84,,3.0,2,4,2,10,2,516
1.0,114,,1.0,3,10,7,4,2,517
1.0,102,,1.0,5,10,2,3,0,518
2.0,59,,2.0,2,3,10,2,2,519
0.0,193,,0.0,10,3,4,6,3,520
1.0,118,,1.0,5,10,3,2,2,521
3.0,192,3.0,1.0,5,6,3,11,1,522
1.0,74,,3.0,3,10,4,4,2,523
3.0,104,3.0,2.0,2,3,9,10,2,524
0.0,133,,0.0,10,4,4,5,0,525
3.0,136,,3.0,3,7,5,10,2,526
0.0,97,0.0,0.0,10,6,3,3,3,527
3.0,196,,1.0,3,4,2,10,3,528
1.0,94,,1.0,2,10,4,2,1,529
2.0,123,2.0,2.0,3,2,10,7,2,530
2.0,135,,2.0,3,2,11,3,2,531
1.0,142,1.0,2.0,3,10,6,6,0,532
0.0,165,2.0,3.0,10,9,8,8,3,533
1.0,174,1.0,0.0,8,10,8,3,0,534
,200,1.0,1.0,7,9,5,5,3,535
